"SourcePath","IsShortcut","ShortcutTarget","Exists","SizeBytes","Hash","Instrument","IsBand","ProposedPath","DuplicateGroupId","IsInConsolidated","ProposedAction"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1021_alt.mp3","False",,"True","295591","30291D8860F252FB1EBDF273388AC5238EA9536B","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1021_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1022.mp3","False",,"True","1073816","5C6CB0AA85A7DE0DA6AE0E205518B65DCDDA3170","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1022.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1022_alt.mp3","False",,"True","1230752","5D5427B70EC4DF38051F5492A257C560E0BFB3B1","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1022_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1023.mp3","False",,"True","1051232","1FEF6A4EA58D9ECC7D66D15107CC6EA09A0EC4B1","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1023.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1023_alt.mp3","False",,"True","994808","2D8B5DEB733C88C36DA8A0F25809830FC1BB880A","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1023_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1024.mp3","False",,"True","850712","8B093BB01B0141607CBD8667FE2C08B4A0998F6A","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1024.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1024_alt.mp3","False",,"True","927944","23BC86A5254B82AC86C82DE4B686DD636EBFAFEE","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1024_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1026.mp3","False",,"True","1093112","DFEDC09FBCA9E28FDA08D3B6265967F3D7D8F6E7","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1026.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1026_alt.mp3","False",,"True","623960","A657B17987D258EED32DE88EA236031CDE886B30","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN1026_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Pop\Pop - back_in_the_day_Drums_75_g ev16.mp3","False",,"True","121114","B051CB2046800D3C803C609C47F42E7E3912E1B5","Pop","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Pop\Pop - back_in_the_day_Drums_75_g ev16.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Pop\Pop - easy_goin_Drums_93_e ev16.mp3","False",,"True","107353","E04D5AE29AACECD6053A56CA489F016E1008D62B","Pop","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Pop\Pop - easy_goin_Drums_93_e ev16.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Pop\Pop - hi_class_Drums_115_d_sharp ev16.mp3","False",,"True","82255","D21795E5306A045CABC1529BA3EADE76227C978C","Pop","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Pop\Pop - hi_class_Drums_115_d_sharp ev16.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Pop\Pop - pop_ballad_Drums_108_b ev16.mp3","False",,"True","89543","F3C7FFA4D1E3CC7B755C5AC4376FF20173E81241","Pop","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Pop\Pop - pop_ballad_Drums_108_b ev16.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Pop\Pop - reminisce_Drums_107_a ev16.mp3","False",,"True","89777","123492EE53A89DE962C4055D93D319E12917985A","Pop","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Pop\Pop - reminisce_Drums_107_a ev16.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Pop\Pop - shine_a_light_Drums_112_a ev16.mp3","False",,"True","78265","4147F024D41FD2BCC8F161990CF36FA0A7DBACCB","Pop","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Pop\Pop - shine_a_light_Drums_112_a ev16.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Pop\Pop - superspice_Drums_70_a ev16.mp3","False",,"True","140141","34205FB307EF7FBA9E3093E74F2206DD90C9C4FA","Pop","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Pop\Pop - superspice_Drums_70_a ev16.mp3",,"True","Keep"
